stemmed_words,Tags,predicted_labels
backprop mean googl show backpropag backprop term basic backpropag differ mean,"neural-networks,definitions,terminology",",machine-learning"
increas nois data help improv learn abil network make differ depend problem solv affect general process overal,generalization,",machine-learning"
write algorithm know mani neuron need per singl layer method find optim number rule thumb,"deep-network,neurons",",algorithm,learning-algorithms"
lego mindstorm ev wonder way could start code bot python rather default drag drop system mindstorm consid ai possibl goal write basic walk program python bot ev rstorm search found understand,mindstorms,",ai-basics,getting-started,python"
intellig agent definit intellig state agent intellig act maxim expect valu perform measur base past experi knowledg paraphras wikipedia mean human intellig think make mistak impli maxim expect valu perform measur,"philosophy,intelligent-agent,terminology",",learning-algorithms,machine-learning,probabilistic"
quot stephen hawk headlin quit time artifici intellig could wipe human get clever human like ant say put simpli layman term possibl threat ai know ai danger still promot ban advers consequ call technolog singular,intelligent-agent,",machine-learning"
new like know simpl word fuzzi logic concept help use,"deep-network,fuzzy-logic",",logic"
particular embed comput limit resourc analyz live video stream traffic camera tri pick good frame contain licens plate number pass car plate locat frame hand ocr librari extract registr use countri two type licens plate common use rectangular typic squar actual somewhat rectangular higher wider registr split two row type let us disregard small percent usual belong vehicl lie outsid interest due limit resourc need rapid realtim process maximum size network number cell connect system handl fix would better split two smaller network recogn one type registr plate larger singl network handl two type better,"neural-networks,image-recognition",",cars,self-driving"
ture test first test artifici intellig bit outdat total ture test aim modern test requir much sophist system techniqu use identifi artifici intellig weak ai artifici general intellig strong ai,"turing-test,strong-ai,intelligent-agent,weak-ai",",markov-chain"
earli stop advantag use method help exact,"generalization,definitions",",reinforcement-learning"
heard idea technolog singular relat artifici intellig theoret point artifici intellig machin progress point grow learn beyond human growth take would know reach point,"self-learning,singularity",",machine-learning"
worri network becom complex want end half network noth take space resourc techniqu detect prevent overfit avoid problem,"deep-network,overfitting,optimization",",machine-learning"
seen emot intellig defin capac awar control express one emot handl interperson relationship judici empathet strategi artifici intellig begin tackl problem develop emot intellig comput exampl alreadi happen degre today comput pass ture test necessarili express emot intellig would seen obvious comput perhap earli program pass test repres young peopl presum lower emot intellig,"turing-test,emotional-intelligence",",learning-algorithms,linear-regression,machine-learning"
sinc human intellig presum function natur genet algorithm natur use genet algorithm comput exampl artifici intellig differ perhap express artifici intellig depend upon scale algorithm evolv,"self-learning,genetic-algorithms",",ai-community,algorithm"
two term seem relat especi applic comput scienc softwar engin one subset anoth one tool use build system differ signific,"machine-learning,terminology",",gradient-descent"
aspect quantum comput help develop artifici intellig,quantum-computing,",machine-learning"
